[00:00:00] 看回放的同学呢，
[00:53:24] 所以这个时候说了一个对策。
[00:53:27] 那么说了，
[00:53:28] 完了这个对策，
[00:53:29] 下面我没有话说了，
[00:53:31] 应该怎么办？
[00:53:32] 那么这个时候说完了责任的对策，
[00:53:34] 没话了，
[00:53:35] 我就举一个例子，
[00:53:36] 请问举例子应该怎么举？
[00:53:38] 哪位同学可以告诉我？
[00:53:40] 举例子就是主体，
[00:53:42] 加上对策，
[00:53:43] 再加上一个影响吧。
[00:53:45] 好了，
[00:53:46] 这个主体对策和影响应该怎么办？
[00:53:49] 那么我们知道材料一共就是分成三块的。
[00:53:53] 大家不要着急，
[00:53:54] 来看一下这个例子。
[00:53:56] 拿着这个改一下主体，
[00:53:58] 加上对策，
[00:53:59] 再加上一个影响，
[00:54:01] 同学们能不能告诉我主体是谁？
[00:54:04] 主体它是指的c市医保局是吧？
[00:54:09] 所以大家一起写叫c市医保局。
[00:54:14] 直接摘抄，
[00:54:15] 可以把它缩写，
[00:54:16] 哎，
[00:54:16] 我就是这样的反股，
[00:54:18] 我就不用全抄，
[00:54:20] 我就稍微的反股c是医保局。
[00:54:23] 请问他干的对策是什么对策？
[00:54:26] 那么他解决了这个痛点难点问题，
[00:54:30] 我爸解决，
[00:54:31] 我不想直接摘抄。
[00:54:33] 你们觉得应该怎么办？
[00:54:34] 我就把解决我要想打靶子打中，
[00:54:37] 我最好一开始要瞄准它，
[00:54:39] 我换一个动词。
[00:54:40] 换一个动词，
[00:54:42] 大家一起写叫瞄准。
[00:54:46] 瞄准什么上班族？
[00:54:50] 瞄准上班族或者瞄准群众，
[00:54:53] 我直接把群众换成了上班族，
[00:54:56] 后面直接摘抄。
[00:54:57] 上班，
[00:54:58] 你看我把动词和。
[00:55:00] 都变化了，
[00:55:01] 但是实际上还是一个意思，
[00:55:03] 没空办。
[00:55:04] 好的，
[00:55:05] 接着下班。
[00:55:09] 没处办。
[00:55:11] 下班没处办。
[00:55:14] 你说的是问题，
[00:55:15] 我想把问题换成一个词，
[00:55:17] 大家觉得能换成什么词？
[00:55:20] 我换成困境。
[00:55:21] 普遍。
[00:55:24] 困境一起把它搞定。
[00:55:27] 好了，
[00:55:27] 接着他干了什么事情，
[00:55:29] 我刚才选了痛点难点，
[00:55:31] 但是我万一没选准呢，
[00:55:33] 我最好在例子当中再把它写一下。
[00:55:37] 大家看这个例子，
[00:55:38] 当中有轮岗，
[00:55:39] 大家发现了吗？
[00:55:41] 这个例子，
[00:55:42] 当中有办公室双休，
[00:55:44] 所以大家一起写。
[00:55:45] 推行。
[00:55:48] 全局轮岗。
[00:55:50] 全局。
[00:55:52] 录音稿。
[00:55:54] 还有。
[00:55:55] 双休日办公。
[00:55:58] 双休日。
[00:56:00] 办公好吧，
[00:56:01] 那么接着还有什么问题？
[00:56:04] 还有什么问题？
[00:56:05] 对于未办结的业务，
[00:56:07] 我这时候怕他说我抄，
[00:56:08] 我就尽量的就是跨一下句子，
[00:56:11] 进行一个写对暂未办结的业务。
[00:56:14] 对占位。
[00:56:18] 半解。
[00:56:19] 的业务干什么？
[00:56:22] 就是打电话沟通，
[00:56:24] 我就直接写主动跟进。
[00:56:28] 主动跟进，
[00:56:29] 我不要直接摘抄，
[00:56:30] 我就要学会把它进行一个再一步的加工和创作接着。
[00:56:36] 最后，
[00:56:36] 它产生了一个影响，
[00:56:38] 对谁有影响肯定是对于群众有影响吧？
[00:56:41] 各位对于群众有什么影响？
[00:56:44] 大家认真的琢磨一下。
[00:56:46] 是不是用干部的辛苦指数用干部的？
[00:56:52] 辛苦指数。
[00:56:54] 辛苦指数对于群众有什么影响，
[00:56:58] 提升了群众的幸福指数吗？
[00:57:01] 换取。
[00:57:03] 群众。
[00:57:06] 的幸福指数或者是便利指数都是可以的，
[00:57:12] 便利指数你看这个。
[00:57:14] 就改写材料呢，
[00:57:15] 大家只要能够做到从材料当中去找灵感，
[00:57:19] 你基本上就不会有任何的问题。
[00:57:21] 好吧，
[00:57:22] 那么这个时候我就把它写完了。
[00:57:24] 大家来看一下，
[00:57:25] 这个时候你看影响也给你准备好了例子，
[00:57:29] 这是一个主体，
[00:57:31] 这是一个对策。
[00:57:32] 这是一个对策，
[00:57:33] 就是用材料当中原词原句改的，
[00:57:36] 这是一个对策，
[00:57:37] 这是一个影响，
[00:57:38] 现在能够听懂了吗？
[00:57:40] 我问大家一下，
[00:57:41] 我们国考的题目这个例子除了能够结合给定材料。
[00:57:47] 还要能够干什么？
[00:57:48] 哪位同学告诉我，
[00:57:49] 很多同学说老师我改写了例子，
[00:57:52] 我分的点也准确，
[00:57:53] 为什么没有得高分呢？
[00:57:55] 因为你不能联系。
[00:57:56] 社会实际。
[00:57:58] 是吧，
[00:57:58] 除了材料当中的，
[00:58:00] 还有材料之外的，
[00:58:01] 那么材料之外，
[00:58:02] 我问大家一下，
[00:58:04] 你觉得我们政务服务就是能够锚定痛点难点，
[00:58:08] 主动担当尽责的。
[00:58:09] 还有什么大家能够想起来吗？
[00:58:12] 啊，
[00:58:12] 你会发现我们第一个可以根据材料进行一个类比吧？
[00:58:18] 出啊，
[00:58:18] 就全国就只有你c市医保局是这样干啊，
[00:58:22] 不一定啊，
[00:58:23] 还有其他的政务服务部门。
[00:58:26] 你就类比从一个到一类，
[00:58:29] 现在听懂了吗？
[00:58:31] 一个是指的医保局，
[00:58:33] 然后我类比我想到一类。
[00:58:36] 这个你不用知道，
[00:58:38] 重庆的也不用知道，
[00:58:39] 四川的也不用知道，
[00:58:41] 广东的你就直接把它给我切分过来也就行了哦，
[00:58:45] 那你就是轮岗双双休日。
[00:58:47] 那其他人呢？
[00:58:48] 他就不能弹性上班吗？
[00:58:50] 其他人呢？
[00:58:51] 人家就不能五间半吗？
[00:58:53] 你周末干，
[00:58:53] 然后呢？
[00:58:54] 人家不能中风不打烊吗？
[00:58:56] 也是可以的。
[00:58:57] 它产生了一个什么样的影响？
[00:59:00] 它产生了影响，
[00:59:01] 就是让我们的时间能够恰好和老百姓的匹配上。
[00:59:05] 好了，
[00:59:06] 我问大家一下，
[00:59:07] 除了根据医保局这一个部门，
[00:59:10] 想到一类部门，
[00:59:11] 我问大家一下，
[00:59:12] 你们还能够想到哪些为老百姓服务的部门能够锚定你的？
[00:59:18] 痛点难点，
[00:59:19] 大家认真讲讲一下，
[00:59:21] 你这个时候想一下老年群体，
[00:59:23] 残障群体，
[00:59:24] 我们有的时候给他们开通绿色通道，
[00:59:27] 给他们上门服务。
[00:59:29] 最后补齐他们的服务短板，
[00:59:31] 产生影响不也可以吗？
[00:59:33] 好吧，
[00:59:34] 还有呢，
[00:59:35] 就是我们很多时候春秋收春节见联。
[00:59:38] 节点的话呢，
[00:59:39] 农民工给他们开了专窗，
[00:59:41] 精准匹匹配了特定群体的办事需求。
[00:59:45] 这些例子。
[00:59:47] 大家的话呢，
[00:59:48] 我每一个话题都给大家准备了30个例子，
[00:59:52] 这30个例子呢，
[00:59:54] 大家打卡之后会拿到那个十大热点话题。
[00:59:58] 你每天晚上的话呢，
[00:59:59] 就看一个话题也就行了，
[01:00:01] 好吧，
[01:00:02] 这30个例子不用背，
[01:00:04] 就提前的看一看，
[01:00:05] 把它积累一下也就可以了。
[01:00:08] 能做到吗？
[01:00:08] 同学们，
[01:00:09] 我我不需要大家背，
[01:00:10] 需要大家背的，
[01:00:12] 只要把那个万能的影响背下来也就可以了。
[01:00:15] 像这些例子呢，
[01:00:16] 我基本上就是每一个话题，
[01:00:18] 包括执法类的，
[01:00:19] 包括管治理类的，
[01:00:20] 包括这种服务类的，
[01:00:22] 都给大家准备好了的，
[01:00:23] 你就没事看一看。
[01:00:25] 你们现在有没有感觉实际上就是？
[01:00:29] 制约你提升的最难的一块就是我刷画括弧的这一块，
[01:00:33] 有这种感觉吗？
[01:00:35] 同学们就是很多同学呢，
[01:00:37] 说老师我的积累不够。
[01:00:39] 然后呢？
[01:00:39] 我要不要看什么？
[01:00:41] 就是人民日报各位，
[01:00:43] 你看人民日报那叫漫无目的的学习。
[01:00:46] 学习一定要进行，
[01:00:48] 刻意学习，
[01:00:49] 我把这些资料呢都给你准备好了，
[01:00:52] 你就打卡，
[01:00:52] 就说把它领了也就行了。
[01:00:55] 行吧，
[01:00:55] 那但是你先要把基本的学会，
[01:00:58] 否则的话，
[01:00:59] 你看这个就舍本逐末了，
[01:01:01] 这是我给大家说的。
[01:01:03] 好了，
[01:01:03] 我们说完了例子之后，
[01:01:05] 一般会对例子干一件什么事情，
[01:01:08] 大家告诉我是不是就是进行一个点评。
[01:01:11] 点评，
[01:01:12] 主要点评什么？
[01:01:13] 点评对策，
[01:01:14] 点评什么？
[01:01:15] 是点评一个影响，
[01:01:17] 那么这个对策就是在说的一个举措，
[01:01:21] 影响就是向对群众。
[01:01:23] 体现了我们政府的群众本位的理念转变，
[01:01:26] 然后最后你要回扣一下我们的分论点，
[01:01:30] 回扣分论点的话，
[01:01:31] 一共只有三招。
[01:01:32] 第一招叫增加句子。
[01:01:35] 第二招叫改写句子，
[01:01:37] 第三招叫调换顺序。
[01:01:39] 好吧，
[01:01:39] 大家看增加句子，
[01:01:41] 增加一个未来也是可以的。
[01:01:44] 接着你锚定痛点难点，
[01:01:46] 我就把它写成建立你常态化需求机制，
[01:01:50] 那么哎，
[01:01:51] 畅通反馈渠道，
[01:01:53] 想几个关键词。
[01:01:54] 你怎么能够知道老百姓有什么痛点难点呢？
[01:01:58] 你就要有一个摸牌的机制，
[01:02:00] 你就有一个反馈的渠道，
[01:02:02] 这是你自己去主动了解，
[01:02:03] 这是老百姓直接给你反馈也就可以了。
[01:02:06] 那么接着你下沉一线，
[01:02:08] 要发现要解决是吧？
[01:02:10] 接着的来讲的话呢，
[01:02:11] 就是你下沉一线啊，
[01:02:13] 就是解决接着你主动担当，
[01:02:15] 主动送上门，
[01:02:16] 稍微改写一下。
[01:02:17] 最后把它写一个影响也就可以了，
[01:02:20] 现在大家觉得可以过不？
[01:02:22] 各位，
[01:02:22] 请问大家一下，
[01:02:24] 可以过不？
[01:02:24] 就是一定把这些能够看懂，
[01:02:27] 我觉得也就可以了，
[01:02:28] 好吧，
[01:02:29] 把它看懂也就可以了。
[01:02:31] 好了，
[01:02:31] 再带着大家往下走，
[01:02:33] 大家来看一下，
[01:02:34] 当然，
[01:02:35] 如果你不会的话，
[01:02:36] 直接套用这个模板也是可以的啊。
[01:02:39] 就是这些模板，
[01:02:40] 你就直接把它套进去也是可以的，
[01:02:42] 但是大家现在到最后一节课了，
[01:02:44] 我们觉得你不需要套了，
[01:02:46] 应该用我们的个性化写作，
[01:02:48] 应该能够达到好吧？
[01:02:49] 第二个大家看拿到这个又不会写分论，
[01:02:53] 点了又不会写分论点的话，
[01:02:55] 第一步要写名言警句。
[01:02:57] 第二步要写什么影响。
[01:02:59] 第三步要写什么？
[01:03:01] 第三步要写过渡句，
[01:03:03] 还有一个除了过渡句，
[01:03:05] 还有什么过渡句？
[01:03:07] 呃，
[01:03:07] 第三步要写一个对策。
[01:03:09] 还有一个例子，
[01:03:10] 第四步要写一个回扣一下我们的分论点好了，
[01:03:14] 我问大家一下名言警句写不出来。
[01:03:17] 想写影响应该怎么写？
[01:03:19] 哪位同学可以告诉我这个影响的话呢？
[01:03:23] 我还真的不会写，
[01:03:24] 但是袁东老师说要想到写哪个词？
[01:03:28] 的影响。
[01:03:29] 是吧，
[01:03:29] 我当然可以写好办事的影响，
[01:03:32] 直接用后面的就是选择一组，
[01:03:34] 也就是好办事是啊，
[01:03:36] 破解民生领域短板的有效途径是。
[01:03:39] 是兜底民生保障底线的必然要求，
[01:03:42] 那么是守护好办事，
[01:03:44] 是解决群众产品油烟的务实之举，
[01:03:46] 是回应衣食住行的贴心之策，
[01:03:49] 是守护冷暖。
[01:03:50] 安危的长远之计。
[01:03:51] 哎呀，
[01:03:52] 我给你准备的这些真的太好了，
[01:03:54] 但是如果你非要自己写，
[01:03:56] 非要不服也可以怎么写？
[01:03:58] 大家告诉我。
[01:03:59] 那么，
[01:04:00] 我想写体验这个词。
[01:04:03] 这个把效能改成体验，
[01:04:06] 我想写体验这个词的影响。
[01:04:09] 大家怎么写体验这个词的影响告诉我。
[01:04:12] 也就是群众办事的体验感，
[01:04:16] 他往往。
[01:04:17] 藏在流程里。
[01:04:20] 大家觉得行吗？
[01:04:21] 就是这个流程，
[01:04:23] 它对于我们群众的体验是有影响的，
[01:04:26] 但是我怕别人这样写，
[01:04:28] 所以我调一下顺序。
[01:04:30] 我就直接把它写成这样一句话，
[01:04:33] 也就是。
[01:04:34] 群众办事的体验感往往就藏在那些看得见，
[01:04:37] 摸得着的流程细节里，
[01:04:39] 大家觉得可以吗？
[01:04:41] 或者你把它倒过来，
[01:04:42] 流程细节关乎群众的体验感。
[01:04:45] 只要大家说的合情合理就可以了，
[01:04:48] 好吧，
[01:04:48] 再接着来讲，
[01:04:49] 没有话说了，
[01:04:50] 就进行一个举例子。
[01:04:52] 举例子应该怎么举？
[01:04:54] 哪位同学可以告诉我？
[01:04:55] 举例子怎么举？
[01:04:57] 哪位同学可以告诉我是不是就是在说主体？
[01:05:00] 是不是就是在说对策？
[01:05:03] 是不是就是在说一个影响大家能够同意吗？
[01:05:07] 主体对策和影响这个主体，
[01:05:10] 请问大家一下指的是谁？
[01:05:12] 有没有同学能够看出来是不是指的c市的税务部门啊？
[01:05:18] c是税务部门一起把它搞定好了，
[01:05:23] 接着它产生一个对策。
[01:05:27] 这个对策，
[01:05:27] 你觉得它是一个什么对策，
[01:05:30] 你会发现它在这个过程当中搞了一个15分钟办税服务圈，
[01:05:34] 那我就直接把它改一个动词，
[01:05:37] 我就不要写优化。
[01:05:38] 我就和他不一样打造。
[01:05:42] 15分钟。
[01:05:45] 办税。
[01:05:48] 服务圈。
[01:05:50] 打造15分钟办税服务圈OK，
[01:05:53] 一起把它搞定好了。
[01:05:56] 下面利用社会化资源，
[01:05:58] 深化政务整合。
[01:06:00] 哎呦，
[01:06:00] 还有什么东西大家告诉我，
[01:06:03] 还有什么东西一？
[01:06:05] 还有一个网点，
[01:06:07] 还有呢？
[01:06:08] 还有一个，
[01:06:09] 还有一个网点，
[01:06:10] 还有什么大家告诉我，
[01:06:13] 还有一个于一体，
[01:06:14] 这个时候我大体知道了，
[01:06:17] 你就是通过这个网点，
[01:06:19] 还有这样的一个。
[01:06:21] 远程的技术还有一个远程的技术，
[01:06:24] 能够让我们实现一站式办理，
[01:06:26] 只要说的合情合理就行了，
[01:06:29] 一站式办理，
[01:06:30] 你看我只要这样组合。
[01:06:32] 我只要能够把这个作为对策组合。
[01:06:35] 这个作为对策组合，
[01:06:37] 这个作为对策组合，
[01:06:38] 再加上这个作为对策组合，
[01:06:41] 我完全可以做到和十万个人不重样，
[01:06:43] 你看我怎么写的？
[01:06:45] 叫做依托。
[01:06:48] 社会化服务网点依托。
[01:06:52] 服务网点。
[01:06:53] 依托服务网点与。
[01:06:59] 远程。
[01:07:01] 协同技术。
[01:07:04] 与远程协同技术。
[01:07:08] 最后产生了一个什么样的影响。
[01:07:11] 实现。
[01:07:14] 一站式办理。
[01:07:16] 一站式。
[01:07:18] 办理那么还产生着什么影响？
[01:07:21] 对这个奶茶店有影响，
[01:07:23] 让奶茶店办税仅需要十几分钟，
[01:07:27] 你就直接写。
[01:07:29] 让个体。
[01:07:31] 开店。
[01:07:34] 办税。
[01:07:37] 仅需。
[01:07:39] 十几分钟。
[01:07:41] 十几分钟，
[01:07:43] 大家看你怎么写都是可以的。
[01:07:48] 现在能够听懂了吗？
[01:07:51] 现在能够听懂了吧，
[01:07:53] 就是你想怎么写怎么写啊？
[01:07:56] 这个影响的话呢，
[01:07:57] 可以用我的，
[01:07:58] 也可以直接这个影响，
[01:07:59] 可以用我的，
[01:08:00] 也可以直接把它背下来，
[01:08:02] 都是没有问题的好吧，
[01:08:03] 这个影响可以用我的，
[01:08:04] 也可以直接把它背下来。
[01:08:06] 好吧，
[01:08:06] 影响用我的把它背下来，
[01:08:09] 然后呢？
[01:08:10] 大家看这个时候就把它主体对策，
[01:08:13] 这句话你实在不写也没有问题，
[01:08:17] 这是一个影响写完了。
[01:08:19] 写完了之后，
[01:08:20] 我们没有话说了，
[01:08:22] 除了除了举材料当中的例子，
[01:08:24] 还要干什么？
[01:08:25] 哪位同学可以告诉我？
[01:08:27] 还要去联系社会实际当中的例子，
[01:08:30] 社会实际当中的例子是什么例子？
[01:08:34] 从这个地方到这个地方，
[01:08:36] 大家能够看懂这些例子吧。
[01:08:39] 各位，
[01:08:39] 你要举的是什么例子？
[01:08:41] 政务服务的例子我都给你准备好了，
[01:08:44] 大家这个时候第一个可以来源于自己的类比推理。
[01:08:48] 那么，
[01:08:48] 第二个可以来源于自身的一个积累。
[01:08:52] 好吧，
[01:08:53] 你会发现你无外乎就是把流程搞好了，
[01:08:57] 把服务搞好了，
[01:08:58] 然后呢，
[01:08:59] 把技能搞好了，
[01:09:00] 把技术搞好了。
[01:09:02] 然后我们就举几个例子呗，
[01:09:04] 那么最多跑一次的改革，
[01:09:06] 然后全国一晚通报，
[01:09:08] 然后对于企业有什么好处？
[01:09:10] 是吧，
[01:09:10] 对于企业有什么好处，
[01:09:12] 然后除了这个，
[01:09:13] 我们政务服务还可以涉及到社保的部门，
[01:09:17] 还可以涉及到看病的部门，
[01:09:19] 还可以涉及到驾驶证换证的部门。
[01:09:21] 这些对策结果，
[01:09:23] 它产生了这样一个影响，
[01:09:25] 大家觉得可以吧就可以了，
[01:09:27] 这个很简单。
[01:09:29] 然后呢，
[01:09:29] 你就想联想到社会现实，
[01:09:31] 政务服务可能有什么，
[01:09:33] 不就是最多跑一次吗？
[01:09:35] 政务服务不就是一保同伴吗？
[01:09:38] 政务服务不还可能有社保吗？
[01:09:40] 转移吗？
[01:09:41] 政务服务到外地去看病吗？
[01:09:43] 政务服务还有换驾证吗？
[01:09:45] 这些其实和你的生活都是密切相关的。
[01:09:49] 现在听懂了吗？
[01:09:50] 好了，
[01:09:51] 再接着来讲的话，
[01:09:52] 我们写完了例子，
[01:09:54] 你如果需要点评的话，
[01:09:55] 点评我反复说过，
[01:09:57] 主要点评什么？
[01:09:58] 哪位同学告诉我？
[01:10:00] 主要点评，
[01:10:01] 对策主要点评影响。
[01:10:03] 这个对策是什么？
[01:10:05] 这个对策不就是流程吗？
[01:10:07] 这个对策不就是技术吗？
[01:10:09] 叫流程技术好吧，
[01:10:11] 那么这个影响不就是从？
[01:10:13] 群众跑向数据跑吗？
[01:10:15] 好了，
[01:10:16] 写完了之后，
[01:10:17] 如果没有话了，
[01:10:18] 这句话写也行，
[01:10:19] 不写也行，
[01:10:20] 这只是一个过渡句，
[01:10:22] 我们可以最后回扣一下我们的分论点。
[01:10:25] 怎么回扣分兑点，
[01:10:27] 大家一起写，
[01:10:28] 可以增加句子。
[01:10:30] 写个废话，
[01:10:31] 可以改写句子，
[01:10:32] 还可以调换顺序，
[01:10:34] 如果我不写这句话，
[01:10:37] 请问同学们。
[01:10:38] 可以，
[01:10:38] 能不能给我换一个名言警句？
[01:10:41] 换哪个名言警句？
[01:10:43] 政务服务是持续迭代的过程。
[01:10:45] 现有成效持七点而非终点，
[01:10:48] 我就可以写一个追风赶月莫停留，
[01:10:50] 有没有同学知道下一句？
[01:10:52] 是在说什么？
[01:10:53] 哪位同学可以告诉我？
[01:10:55] 追风赶月莫停留，
[01:10:58] 平无尽处是春山。
[01:11:00] 一起把它搞定好吧，
[01:11:03] 接着。
[01:11:03] 我们要怎么办？
[01:11:05] 我们要写我们的对策，
[01:11:07] 大家看你不就是要深化流程再造吗？
[01:11:10] 我们就把政务服务就说标准化。
[01:11:13] 规范化便利化。
[01:11:15] 我们就把它缩减办事的环节，
[01:11:17] 精简材料呃压压缩办理的时间，
[01:11:20] 这些你都可以通过前面的例子去稍微的改写一下。
[01:11:25] 同时呢，
[01:11:26] 我们有一些老年群体啊，
[01:11:28] 我们还要不能纯线上，
[01:11:29] 我们还是要回归到人，
[01:11:31] 还记得我们给大家讲过那个题目吗？
[01:11:34] 就是不止要奔跑，
[01:11:36] 还要什么，
[01:11:37] 还要明确我们的目标是吧，
[01:11:39] 你如果能够谈到这一个，
[01:11:42] 其实你就是非常深刻了。
[01:11:44] 就是现在的话呢，
[01:11:46] 就是很多人总觉得为技术论是吧，
[01:11:49] 甚至为AI论，
[01:11:50] 记住这些都是冷冰冰的。
[01:11:53] 最后还是要回归到人，
[01:11:55] 听到了吗？
[01:11:56] 我曾经给大家说过，
[01:11:57] 我说希望你跟着我们的申论的全家桶，
[01:12:01] 以后不要在网上再听课了。
[01:12:03] 可以直接上岸，
[01:12:04] 以后还是要回归到人与人，
[01:12:07] 以后还是要回归到面对面，
[01:12:10] 以会以后还是要回归到自然。
[01:12:13] 以后还是要回归到生活，
[01:12:15] 回归到社会，
[01:12:16] 因为我觉得你们很多同学在备考的过程当中已经完全。
[01:12:21] 脱离了社会了，
[01:12:22] 你们现在很多人就是原子人，
[01:12:25] 你们有没有同学觉得自己是这种感觉？
[01:12:28] 你知道最近有很多同学来找我，
[01:12:31] 连麦说自己在出租屋里面学习，
[01:12:33] 每天的话呢，
[01:12:34] 就是自己又失恋了，
[01:12:35] 还有没有失恋的，
[01:12:37] 本来就是单身狗的。
[01:12:38] 说每天的话呢，
[01:12:39] 也没有人交流，
[01:12:40] 除了学习就是这样，
[01:12:42] 心情很压抑，
[01:12:43] 我就跟你说啊，
[01:12:44] 如果你自己出租的话，
[01:12:46] 你每一天至少。
[01:12:47] 给你的朋友或者给你父父母报一个平安，
[01:12:50] 安全是非常重要的，
[01:12:52] 行不行哎？
[01:12:53] 你你们现在很多人，
[01:12:54] 你看啊，
[01:12:55] 就是你看我们这个对策提的多好啊。
[01:12:58] 你觉得我这个对策提的好吗？
[01:13:00] 现在整个社会都在强调什么AR都在强调什么，
[01:13:04] 人工智能都在强调什么，
[01:13:06] 无人化。
[01:13:07] 最后的话呢？
[01:13:08] 哎呦，
[01:13:09] 我的妈呀，
[01:13:10] 最后搞得大家现在都在鼓吹这个是吧？
[01:13:14] 都在鼓吹最后搞成什么了？
[01:13:16] 搞成很多很多的人，
[01:13:18] 就是没有工作了，
[01:13:20] 搞成很多的很多的人，
[01:13:22] 变成了一个孤独的人。
[01:13:24] 导成了很多很多人，
[01:13:26] 变成了一个原子人，
[01:13:28] 所以大家在强调技术的同时，
[01:13:31] 一定不要忘记了还有温情这一块。
[01:13:34] 这你写作的时候遇到这种，
[01:13:37] 你一写一个准，
[01:13:38] 这种立意写出来，
[01:13:39] 那阅卷人一看，
[01:13:40] 我靠，
[01:13:41] 你这个思维是很深刻。
[01:13:43] 你能够想到效率，
[01:13:45] 你还能够兼顾到公平和温度，
[01:13:48] 那多好啊，
[01:13:49] 阅卷人一看就知道你是不一样的。
[01:13:52] 行吧，
[01:13:53] 有的同学说男生女生都会压抑吗？
[01:13:55] 各位，
[01:13:56] 你不管男生女生，
[01:13:57] 你都是个生啊，
[01:13:58] 你不管男人女人，
[01:14:00] 你都是个人呐，
[01:14:01] 人都是有七情六欲的人，
[01:14:03] 都是需要温暖的。
[01:14:04] 你同意吗？
[01:14:05] 同学们，
[01:14:06] 不管你是正常人，
[01:14:07] 残疾人，
[01:14:08] 你都是人呀，
[01:14:09] 人哪有说喜欢孤单的？
[01:14:11] 以前任贤齐有一首有有一首歌，
[01:14:14] 那首歌叫孤独，
[01:14:15] 总是可耻的。
[01:14:16] 你们有没有听过这首歌？
[01:14:20] 各位，
[01:14:21] 我们上高中的时候，
[01:14:24] 大街小巷。
[01:14:26] 一直就放这首歌，
[01:14:27] 我们那时候没有手机，
[01:14:29] 没有没有微信，
[01:14:30] 没有短信，
[01:14:31] 连QQ都没有，
[01:14:32] 我跟你说一下，
[01:14:34] 我高三之前我从来没有见过QQ。
[01:14:36] 你们知道我这辈子第一次上网上的是什么网吗？
[01:14:40] 有没有哪个同学知道那叫伤伤心？
[01:14:42] 太平洋是九几年的时候，
[01:14:44] 我上高中的时候，
[01:14:45] 我在我们班学习比较好，
[01:14:47] 我们老师呢？
[01:14:48] 有一天中午奖励我，
[01:14:49] 他说袁东啊，
[01:14:50] 你就给办公室的老师打一桶水，
[01:14:53] 老师要喝水，
[01:14:53] 然后我就和我同学一起去了，
[01:14:56] 打完水之后呢，
[01:14:57] 正好中午12点多老师都去吃饭了。
[01:14:59] 各位，
[01:15:00] 我就拿看到他电脑正在开着，
[01:15:03] 然后那时候电脑我就看到有一个叫3w点。
[01:15:07] so hu点com我的妈呀，
[01:15:09] 我点进去之后你知道吗？
[01:15:11] 我就点进去之后各位一下子给我弹出来一个美女。
[01:15:17] 那个美女的话呢，
[01:15:18] 就是穿的衣服还不太多，
[01:15:20] 我靠，
[01:15:20] 你都知道吗？
[01:15:21] 我当时一下子对我老师，
[01:15:23] 我所有的滤镜已经崩塌了，
[01:15:25] 各位我再也没有看过。
[01:15:26] 后来我就想到我到大学里面，
[01:15:29] 我一定到时候去看看老师为什么看这个网站，
[01:15:32] 而是搜狐点com各位。
[01:15:34] 哎呀，
[01:15:34] 不说了，
[01:15:35] 兄弟们好吧，
[01:15:36] 再接着往下走。
[01:15:39] 啊，
[01:15:39] 好了，
[01:15:40] 最后一个分论点，
[01:15:41] 再给大家把它论证一下，
[01:15:44] 最后这个分论点，
[01:15:45] 如果还不会论证的话，
[01:15:47] 应该怎么办？
[01:15:49] 应该抽自己的耳光了，
[01:15:51] 一定要写名言警句，
[01:15:53] 一定要写影响，
[01:15:54] 还要写什么，
[01:15:56] 还要写对策。
[01:15:57] 和例子还要写什么？
[01:15:59] 还要写一个回扣一下我们的分论点，
[01:16:02] 民言警句不会写无所谓例子，
[01:16:04] 这个影响可不可以直接用你背诵的那个直接套用一个？
[01:16:08] 你这就直接写事办好的影响。
[01:16:12] 事办好的影响，
[01:16:13] 大家觉得可以不事办好，
[01:16:15] 我们给大家准备了什么影响，
[01:16:18] 各位告诉我，
[01:16:19] 事办好的话，
[01:16:20] 你会发现它的影响真的非常多。
[01:16:22] 是吧，
[01:16:23] 随便选一句话也就可以了，
[01:16:25] 还是那些各位接着除了这个事办好的影响，
[01:16:30] 我们要想写个性化的。
[01:16:33] 我问大家一下，
[01:16:34] 你觉得个性化应该写什么？
[01:16:37] 个性化，
[01:16:38] 也就是你有没有帮我们最终实际把问题解决了吧？
[01:16:43] 那么你解决我的问题对谁有好处？
[01:16:46] 对于群众有好处吧，
[01:16:48] 对于群众的什么有好处，
[01:16:50] 对于群众的期待是有好处的吧。
[01:16:54] 好了，
[01:16:54] 我们就直接写叫群众的期待。
[01:16:58] 从来不是做了那，
[01:17:00] 但是我想把它反过来说一下，
[01:17:02] 我就直接把它写成这种个性化的，
[01:17:04] 你们看行不行？
[01:17:05] 就说我本身想写，
[01:17:07] 就是解决难题，
[01:17:08] 关乎群众的期待，
[01:17:10] 但是呢，
[01:17:11] 我把它调一下顺序，
[01:17:13] 前后反过来。
[01:17:14] 群众的期待不是做了什么，
[01:17:16] 而是做成了什么，
[01:17:17] 然后评价的标准不在于流程多规范，
[01:17:19] 而在于难题是否解决可以的。
[01:17:21] 下面没有话了，
[01:17:23] 就开始举例子，
[01:17:25] 各位怎么举例子？
[01:17:27] 举例子，
[01:17:28] 大家看我还是给大家举一下。
[01:17:31] 叫主体，
[01:17:32] 叫对策，
[01:17:33] 还有一个叫影响。
[01:17:36] 这个主体哪位同学可以告诉我是在说谁？
[01:17:40] 这个材料当中的是不是在说的一个雨辖区？
[01:17:44] 我们把雨辖区写下来。
[01:17:46] 好了，
[01:17:47] 对雨辖区干了一个什么样的对策，
[01:17:50] 哪位同学可以告诉我是不是刚才我们？
[01:17:54] 设立窗口和聚焦提单筹判判断不准呀，
