[00:00:00] 还是给大家试试这个手写笔好吧？
[00:51:30] 要给大家进行超大v的刷题了，
[00:51:32] 你们还要继续跟的同学就打个一不继续跟的就打个二。
[00:51:36] 这个超大杯的刷题呢，
[00:51:38] 请问大家一下，
[00:51:39] 要不要给大家配上批改？
[00:51:40] 我就问大家一下，
[00:51:42] 你们的选择啊，
[00:51:43] 你们如果说觉得批改的话呢，
[00:51:45] 不重要，
[00:51:45] 我就不再给大家，
[00:51:46] 就是弄批改了，
[00:51:48] 因为。
[00:51:48] 这个这个成本技术团队的成本实在是太贵了哈。
[00:51:51] 我因为我看见有个别同学呢，
[00:51:53] 买了批改之后一次都没用，
[00:51:55] 但是绝大多数同学还是真用了哈，
[00:51:58] 就是我不知道大家体验如何，
[00:52:00] 如果你要体验好的话呢？
[00:52:02] 我就继续给大家加上这个批改行不行？
[00:52:05] 啊，
[00:52:05] 好了，
[00:52:05] 那么这节课呢，
[00:52:07] 也就给大家讲到这了，
[00:52:09] 大家下面在评论区打出来一个字，
[00:52:12] 打出来一句话，
[00:52:13] 这句话叫不被是小狗。
[00:52:15] 好吧，
[00:52:16] 叫不背是小狗，
[00:52:17] 希望大家能够认真的背一下哈，
[00:52:20] 没有人知道你花了多长时间，
[00:52:23] 经过多少艰难才重新找回内心的平静。
[00:52:26] 每个人看似热气腾腾的生活，
[00:52:29] 都隐藏着自己才了解的酸楚。
[00:52:31] 那些你不能发在朋友圈以及无法与家人诉说的那些你默不作声却暗自消化的。
[00:52:38] 各种情绪才是你真正的生活，
[00:52:41] 很喜欢一段话，
[00:52:42] 你不会的东西，
[00:52:43] 觉得难的东西一定不要躲。
[00:52:46] 先搞明白后精战，
[00:52:47] 你就比别人更加优秀了，
[00:52:49] 因为大部分人都不舍得花力气去钻研自动淘汰，
[00:52:53] 所以你执着的努力就占了大便宜。
[00:52:56] 勇气是老天爷给我们这苦难而又平庸的人生最大的礼物，
[00:53:01] 你只有做到心中无敌，
[00:53:03] 才有可能做到无敌于天下，
[00:53:05] 千万不要惧怕这个世界上的任何一个人，
[00:53:08] 管它是达官显贵。
[00:53:09] 还是富甲一方深入了解后，
[00:53:11] 你会发现至少一半是草排班子，
[00:53:14] 很多人的失败就源于所谓的恐惧，
[00:53:17] 觉得自己背不下来。
[00:53:18] 天天怕这个怕那个，
[00:53:20] 怕父母责怪，
[00:53:21] 怕同学嘲笑，
[00:53:23] 怕白白忙活，
[00:53:24] 一场一生都活在这，
[00:53:25] 怕那怕当中一直都走不出这个阴霾，
[00:53:29] 郁郁寡欢。
[00:53:30] 惶恐不得终日做事业，
[00:53:32] 就要做到勇者无惧，
[00:53:34] 认真的去背吧。
[00:53:35] 当然，
[00:53:35] 做人也一定要时刻保持一颗谦虚敬畏之心。
[00:53:40] 人生在世，
[00:53:40] 无论努力求学，
[00:53:42] 交往朋友，
[00:53:43] 拼搏事业，
[00:53:44] 闯荡江湖，
[00:53:44] 假如没有敬畏之心，
[00:53:46] 其实很难在社会上立足。
[00:53:48] 恐惧和焦虑会逐步蚕食你。
[00:53:51] 作为一个英雄的智慧格局面，
[00:53:54] 相思维能力等有百害而无一利就现在立刻马上丢掉恐惧和焦虑。
[00:54:00] 怀着一颗谦虚敬畏之心，
[00:54:02] 大胆的向前冲，
[00:54:03] 莫回头，
[00:54:04] 各位理论结束了，
[00:54:06] 大家给我好好的背一背。
[00:54:08] 求求大家了，
[00:54:09] 今年大家觉得你大指纹光买这个研发值得的话，
[00:54:13] 打个一不值得的话，
[00:54:15] 给老师打个二。
[00:54:16] 各位大作文的这个研发我真的费了很大力气，
[00:54:20] 很多人的话呢，
[00:54:22] 攻击我们说我们是模板，
[00:54:24] 但是。
[00:54:24] 最重要的是，
[00:54:25] 他们连个模板都准备工不过来，
[00:54:28] 没有几个老师能够像我一样给大家把这些素材准备的这么细致，
[00:54:34] 这么入微。
[00:54:35] 你想个性化，
[00:54:36] 我从来没有拦着你，
[00:54:37] 你但是你如果说实在水平不行，
[00:54:40] 你写的东西还没有模板好的话，
[00:54:42] 你就用模板在模板的基础上，
[00:54:44] 你结合豆包稍微改写一下。
[00:54:47] 改写成只适合你一个人的模板，
[00:54:49] 这不就叫个性化了吗？
[00:54:51] 现在大家听懂的话，
[00:54:53] 给老师打个一好好的背一下。
[00:54:55] 求求大家了好吧，
[00:54:57] 求求大家了。
[00:54:58] 你甚至。
[00:55:00] 没有喊我一声教父oh my god是吧？
[00:55:04] oh my god小爱同学。
[00:55:08] 播放明天会更好。
[00:55:12] 好呀，
[00:55:13] 小爱和你一起欣赏音乐会员，
[00:55:15] 尊享歌曲，
[00:55:16] 记得打卡啊，
[00:55:17] 打卡零十大热点话题的素材。
[00:55:24] 嗯。
[00:55:27] 嗯。
[00:55:32] 嗯。
[00:55:34] 嗯嗯嗯。
[00:55:40] 轻轻敲醒沉睡的心灵，
[00:55:44] 慢慢睁开你的眼睛，
[00:55:47] 看看忙碌的世界是否依然。
[00:55:51] 孤独，
[00:55:52] 你站个不停。
[00:55:54] 春风不解风情吹动少年的心。
[00:56:01] 当昨日悲伤的泪痕随季风干了，
[00:56:07] 抬头寻找天空的翅膀，
[00:56:12] 不要出现太一起。
[00:56:15] 带来最初的计划，
[00:56:18] 无尽的战火依然存在的消息。
[00:56:23] 余生白雪飘零，
[00:56:26] 燃烧少年的心是真情融化成音符。
[00:56:33] 轻诉遥远的祝福。
[00:56:36] 唱出你的热情，
[00:56:39] 伸出你的双手，
[00:56:41] 让我拥抱你的梦。
[00:56:45] 让我拥有你真心的面孔。
[00:56:50] 让我们的笑容充满着青春的家。
[00:56:58] 我明天献出虔诚的祈祷。
[00:57:05] 谁的孤？
