[00:00:00] 他对你说，
[00:52:12] 哪位同学可以告诉我？
[00:52:14] 哎，
[00:52:14] 抓紧时间写在评论区，
[00:52:17] 我们上节课给大家写过这个题目，
[00:52:20] 是不是法治根基，
[00:52:22] 人民法治广大人民？
[00:52:24] 心中落地生根啊，
[00:52:26] 也就是让。
[00:52:27] 法治扎根。
[00:52:33] 人民。
[00:52:34] 心中OK，
[00:52:36] 然后有什么好处？
[00:52:38] 实现全面依法治国，
[00:52:41] 大家一起写会就。
[00:52:44] 依法。
[00:52:48] 治国。
[00:52:51] 新蓝图一起把它搞定，
[00:52:53] 绘就依法治国新蓝图好了，
[00:52:56] 所有的同学，
[00:52:57] 请问大家一下应该怎么把它搞定？
[00:53:01] 应该怎么把它搞定，
[00:53:03] 我再给大家说一下啊呃，
[00:53:05] 我刚才拉拉拉着就是禁言的话呢，
[00:53:08] 可能失效了，
[00:53:09] 我现在是晚上7点35分。
[00:53:11] 截止7点35分还在之后，
[00:53:14] 我不管你什么原因，
[00:53:16] 你还在骂人的，
[00:53:18] 然后呢，
[00:53:19] 我就直接。
[00:53:20] 把你拉黑啊，
[00:53:21] 我就直接待会呢，
[00:53:22] 把你拉黑，
[00:53:23] 而且呢，
[00:53:23] 我不给你退费好吧，
[00:53:25] 就是黑吃黑，
[00:53:26] 你别想着说呃，
[00:53:27] 你这个时候在我课堂上扰乱顺序，
[00:53:29] 你骂了人，
[00:53:30] 你呢，
[00:53:31] 又听了一半的课了，
[00:53:32] 你还能把费退用。
[00:53:33] 不不好的东哥从来不做这种事，
[00:53:36] 东哥这个人就是黑吃黑你，
[00:53:38] 甚至都不愿意喊我一声教父，
[00:53:40] 搞得发子哦，
[00:53:41] 我把你拉黑了之后，
[00:53:43] 你就知道oh my god，
[00:53:44] 我以后再也不骂人了。
[00:53:46] oh oh my god，
[00:53:47] 我让你记一辈子，
[00:53:49] 你背东哥，
[00:53:50] 这是东哥交给你的最后的一节课oh my god同学们，
[00:53:55] 这句话我们弄完了之后。
[00:53:57] 我问大家一下，
[00:53:58] 我问大家一下，
[00:53:59] 我一下子不会写了，
[00:54:01] 应该怎么办？
[00:54:01] 哎，
[00:54:02] 东哥站在你身后要伸出四个手指头说一个数字，
[00:54:05] 说什么数字？
[00:54:06] 同学们是不是说一个？
[00:54:08] one，
[00:54:08] two，
[00:54:08] three，
[00:54:08] four，
[00:54:09] 咱们改成英语以后上课就是国际化第一句话要写名言警句，
[00:54:14] 第二句话要写影响，
[00:54:16] 第三句话要写什么，
[00:54:18] 第三句话要写过渡句，
[00:54:20] 第四句话。
[00:54:21] 要写什么？
[00:54:22] 要写总论点oh my god一下子脑袋当中哎，
[00:54:26] 又能够有清晰的思路了，
[00:54:28] 大家来看一下，
[00:54:30] 首先把这个名言警句。
[00:54:32] 给我抄下来，
[00:54:33] 抄下来之后，
[00:54:34] 如果你想再多润色一下的话，
[00:54:36] 你可以加一句话，
[00:54:37] 这句话生动诠释出人民群众的认同和参与，
[00:54:41] 是实现全面依法治国的核心要义。
[00:54:44] 自己可以准备一个比较万能的话，
[00:54:47] 下面再写影响，
[00:54:48] 请问这个影响要写哪个方面的影响？
[00:54:52] 大家告诉我，
[00:54:53] 这个影响你觉得这句话是在说哪个方面的影响，
[00:54:57] 它是政治方面，
[00:54:58] 政治方面说。
[00:55:00] 属于法律层面上的影响吧，
[00:55:02] 法律层面的影响能不能把它提前准备到，
[00:55:05] 当然可以提前准备到，
[00:55:07] 各位你看我给大家准备了。
[00:55:09] 叫做让法治在广大人民群众心中啊，
[00:55:12] 落地生根是打造政治文明的客观要求，
[00:55:15] 是促进经济繁荣的必要条件，
[00:55:18] 是保障社会和谐的重要举措。
[00:55:20] 是建设社会主义现代化强国的重要内容。
[00:55:24] oh my god，
[00:55:25] 请问大家一下，
[00:55:26] 你觉得可以不？
[00:55:28] oh my god my love，
[00:55:29] 这是my love哎呦。
[00:55:30] 我的妈呀，
[00:55:31] 从此之后我不再怕了，
[00:55:33] 后面呢，
[00:55:34] 再加一个过渡句，
[00:55:35] 风雨多经志弥坚，
[00:55:36] 关山出渡路由长，
[00:55:38] 因为这件事情扎根到心中，
[00:55:40] 需要跟很长时间。
[00:55:41] 最后呢，
[00:55:42] 再加上一个总论点，
[00:55:44] 进入新时代，
[00:55:44] 奋进新征程，
[00:55:45] 再创新辉煌，
[00:55:46] 然后呢，
[00:55:47] 唯有将法治扎根人民群众，
[00:55:49] 然后呢，
[00:55:50] 才能筑牢。
[00:55:50] 依法治国的坚实根基可以吗？
[00:55:53] 同学们oh my god，
[00:55:54] 然后呢？
[00:55:55] 如果有的同学不服，
[00:55:57] 说老师我想加一个万能句，
[00:55:59] 那么当今世界世界之变，
[00:56:01] 时代之变。
[00:56:02] 法制之变正在以前所未有的方式展开。
[00:56:05] oh my god还能够用再来看，
[00:56:07] 如果你想用个性化，
[00:56:08] 东哥也给你准备好了。
[00:56:10] 党的十七届四中全会以来。
[00:56:12] 很多同学都不知道有这个会，
[00:56:14] 你想想你写上去那个阅卷人，
[00:56:16] 他也不知道有这个会阅卷人都是各个大你，
[00:56:19] 比如说山东的都是山东师范大学的研究生给你阅卷。
[00:56:23] 他之前都不知道有这个会，
[00:56:25] 你写上去肯定白白加一分，
[00:56:28] 然后把这句写上去也是可以的。
[00:56:31] 现在听懂了吗？
[00:56:32] 好了，
[00:56:32] 我们再来看一下，
[00:56:34] 应该怎么把它搞定？
[00:56:35] 各位，
[00:56:36] 那如果有的同学觉得这句话可能会给别人重复，
[00:56:41] 请问一下应该怎么办？
[00:56:43] 能不能有替换？
[00:56:45] oh my god，
[00:56:45] 东哥太细了，
[00:56:47] 来看一下那么怎么样？
[00:56:49] 就是让法治扎根人民群，
[00:56:51] 群众心中是涵养政治文明的客观要求。
[00:56:55] 是推动经济繁荣的必要支撑，
[00:56:57] 是维护社会和谐的啊重要保障，
[00:56:59] 是建设社会主义现代化强国的核心内涵。
[00:57:02] 哎呦，
[00:57:03] 还想换让法治扎根人民群众心中。
[00:57:05] 是维护群众合法权益的客观要求，
[00:57:08] 是守护社会核心稳定的必要支撑，
[00:57:10] 是推进法治政府建设的那么核心要义。
[00:57:13] 大家觉得可以不？
[00:57:14] 然后呢，
[00:57:15] 让法治就是哎呃，
[00:57:17] 扎根人民群众心中是坚守社会公平正义价值追求的内在支撑，
[00:57:22] 是完善中国特色社会主义法治体系的重要保障。
[00:57:26] 是行实国家治理现代化根基的核心工程。
[00:57:30] 行不各位？
[00:57:31] 那如果我在考试的时候，
[00:57:33] 万一我一背，
[00:57:34] 哎呦，
[00:57:34] 我的脑袋中间被串了。
[00:57:36] 是涵养政治文明的客观要求，
[00:57:38] 是守护和谐稳定的啊呃，
[00:57:40] 那必要支撑是守护人民幸福安康的内在要求，
[00:57:44] 请问大家一下，
[00:57:45] 这样行吗？
[00:57:46] 你会发现随便做，
[00:57:48] 随便组合啊，
[00:57:49] 随便组合oh my god再接着往下走啊，
[00:57:53] 你甚至都不愿意喊我一声教父。
[00:57:56] 哈教父高的法则是不是我们再接着带着大家往下看？
[00:58:00] 没事，
[00:58:00] 你们可以看一下那个电影，
[00:58:02] 那么我问大家一下，
[00:58:04] 如果涉及到。
[00:58:05] 法制方面的，
[00:58:06] 你们觉得还需不需要再用万能的背景句？
[00:58:11] 如果涉及到法制层面的，
[00:58:13] 比如说今年国考，
[00:58:14] 它肯定是考法制，
[00:58:15] 江苏省考，
[00:58:16] 四川省考，
[00:58:17] 江西，
[00:58:17] 湖南这些，
[00:58:18] 新疆这些，
[00:58:19] 它只要考大作文，
[00:58:20] 一定和执法力相关。
[00:58:22] 还要不要再用万能的，
[00:58:24] 不用你考法律的同学，
[00:58:26] 你就直接准备与法制相关的素材就行了，
[00:58:30] 我给大家都准备好了。
[00:58:32] 好吧，
[00:58:33] 先给大家来看一下，
[00:58:34] 我就我都给大家准备好了，
[00:58:37] 各位那么这些法制素材相关的在最后会给大家呈现。
[00:58:41] 行吧，
[00:58:41] 同学们，
[00:58:42] 行的话就给老师打个过，
[00:58:44] 记住了，
[00:58:44] 法制的你没有必要用那么复杂的啊，
[00:58:47] 那么复杂的就用个性化的也就可以了，
[00:58:50] 个性化的最后。
[00:58:52] 那个都在你们讲义上印出来了，
[00:58:55] 好了再接着给大家来看一下这一句话，
[00:58:58] 你们觉得它应该是标题应该怎么写？
[00:59:02] 哪位同学可以告诉我前半句是对策，
[00:59:05] 后半句是影响各位认真的琢磨一下它的主要的关键词。
[00:59:11] 是不是在说系统观念前面给老师加一个动词，
[00:59:16] 是不是就是坚持？
[00:59:18] 系统。
[00:59:20] 观念啊，
[00:59:20] 一起把它搞定好了，
[00:59:23] 然后它有没有说影响呢？
[00:59:25] 没有说影响，
[00:59:26] 我就想一个万能的。
[00:59:29] 开创发展。
[00:59:32] 新局面。
[00:59:34] 新局面一起把它搞定好了，
[00:59:36] 那么写完了之后脑袋空白了，
[00:59:39] 我要想到袁东老师说名言警句，
[00:59:42] 袁东老师说影响。
[00:59:44] 袁东老师说过渡句，
[00:59:46] 还有最后一个是总论点名言警句，
[00:59:49] 可不可以直接摘抄？
[00:59:51] 可以摘抄吧，
[00:59:52] 影响的话，
[00:59:53] 请问大名言警句可以直接摘抄，
[00:59:56] 我们就把它直接摘摘抄在这个地方。
[00:59:59] 好了，
[01:00:00] 抄完了之后，
[01:00:01] 请问大家一下，
[01:00:02] 这个影响你觉得这句话系统观念它的影响？
[01:00:07] 你会发现它既可能涉及到政治层面，
[01:00:11] 又可能涉及到民生层面，
[01:00:13] 还可以涉及到经济层面，
[01:00:15] 你就从政治经济。
[01:00:17] 层层面去找，
[01:00:18] 完全够用，
[01:00:19] 你看坚持系统观念，
[01:00:21] 既是增进人民福祉的必经之路，
[01:00:23] 又是建设服务型政府的必经之法，
[01:00:26] 还是实现中华民族伟大复兴的必然选择。
[01:00:30] 然后来一个过渡句，
[01:00:31] 正如万山圈子里一山放过一山来，
[01:00:34] 最后加一个总论点，
[01:00:36] 也就是把标题给我写成一句话。
[01:00:39] 这个能够看懂的话也就可以了，
[01:00:42] 然后如果你想加背景句个性化的万能的，
[01:00:45] 你就直接背下来，
[01:00:46] 也就加从政治或者是经济里边。
[01:00:49] 选那么两句话，
[01:00:50] 加进去也就行了，
[01:00:52] 那我问大家下就是这一个民生领域或者经济领域，
[01:00:57] 咱们可不可以给他替换？
[01:00:59] 坚持系统观念，
[01:01:00] 还有没有能够替换的，
[01:01:03] 各位太多了，
[01:01:04] 坚持系统观念是怎么样？
[01:01:06] 事关人民群众的根本利益，
[01:01:08] 事关政府治理能力，
[01:01:10] 治理水平的提供，
[01:01:11] 事关社会主义现代化建设事业的成败，
[01:01:14] 你会发现很多呀。
[01:01:15] 是吧，
[01:01:16] 那么。
[01:01:18] 就给大家写到这好了，
[01:01:21] 再来练。
[01:01:22] 你们一个非常陌生的话题，
[01:01:24] 这几年一直没考，
[01:01:25] 但是今年很有可能考，
[01:01:27] 大家首先审一下题目，
[01:01:29] 你觉得这个题目是在说政治，
[01:01:31] 经济，
[01:01:31] 文化，
[01:01:32] 社会，
[01:01:32] 生态的哪一个？
[01:01:33] 哪个同学可以告诉我？
[01:01:35] 快点告诉我，
[01:01:36] 是不是在说生态啊？
[01:01:38] 哎，
[01:01:38] 我问大家一下，
[01:01:39] 这个生态标题，
[01:01:41] 大家告诉我应该怎么写？
[01:01:43] 哪位同学可以告诉我前半句是等于对策？
[01:01:47] 后半句是等于影响吧。
[01:01:50] 它这里面最重要的是黄河领域吧，
[01:01:53] 那么所以大家加一个动词保护。
[01:01:57] 黄河。
[01:02:01] 流运。
[01:02:03] OK，
[01:02:03] 然后它有什么影响？
[01:02:05] 它对谁有影响？
[01:02:07] 对老百姓有影响造福。
[01:02:10] 两岸。
[01:02:13] 人民好了，
[01:02:14] 同学们给老师写四句话，
[01:02:17] 第一句话写名言警句，
[01:02:19] 第二句话写影响，
[01:02:21] 第三句话写。
[01:02:23] 写过渡句，
[01:02:24] 第四句话写总论点怎么写？
[01:02:26] 哪位同学告诉我，
[01:02:28] 首先名言警句，
[01:02:29] 直接把这句话给。
[01:02:31] 给我进行一个摘抄，
[01:02:33] 然后影响保护黄河领域是涉及到哪个领域，
[01:02:37] 是不是涉及到生态领域啊？
[01:02:40] 我生态领域就把它直接摘抄下来，
[01:02:43] 然后加一个过渡句也就可以了，
[01:02:46] 然后再加一个总论点，
[01:02:48] 总论点呢，
[01:02:49] 你看我就把它调一下顺序。
[01:02:51] 就这句话，
[01:02:52] 我把它稍微的扩写一下，
[01:02:54] 写在后面，
[01:02:54] 这句话我把它稍微的改写一下，
[01:02:57] 写到这儿，
[01:02:58] 大家觉得可以吗？
[01:02:59] 然后如果大家想在这个地方加背景句，
[01:03:02] 你可以加一个万能的放在中间，
[01:03:05] 当前世界之变，
[01:03:06] 时代之变，
[01:03:07] 生态之变，
[01:03:07] 正在以前所未有的方式展开。
[01:03:10] 或者加一个个性化的背景句，
[01:03:12] 就说绿色是生命的颜色，
[01:03:14] 更是当代中国发展最鲜明的底色。
[01:03:17] 放在这儿也是没有问题的。
[01:03:20] 大家觉得可以吗？
[01:03:21] 先不要追求细节，
[01:03:23] 我们这节课讲的不是审题，
[01:03:25] 这节课讲的是大作文的写作，
[01:03:27] 能够这个逻辑理解的话就给老师敲个一。
[01:03:30] 各位，
[01:03:31] 然后我想把这个题目给大家认真的换一下，
[01:03:35] 请问大家一下应该怎么换？
[01:03:38] 哪位同学可以告诉我这个影响怎么换？
[01:03:41] 这个影响大家看保护黄河领域既是引领经济新常态的重要保障，
[01:03:47] 又是体现大国担当的现实需要，
[01:03:50] 更是改善。
[01:03:51] 民生福祉的内在要求保护黄河领域，
[01:03:53] 既是解决生态矛盾的客观要求，
[01:03:56] 又是保障人民美好生活前景的必要条件，
[01:03:59] 也是实现伟大复兴中国梦的核心要义。
[01:04:02] 保护黄河啊，
[01:04:03] 流域啊，
[01:04:04] 生态环境既是破解生态环境瓶颈的迫切之举，
[01:04:08] 又是推动绿色转型发展的战略之选，
[01:04:11] 更是保障子孙后代福祉的长远之策。
[01:04:14] 请问大家一下，
[01:04:16] 可以不保护黄河领域，
[01:04:17] 那么既是守护生态保护红线的底线要求，
[01:04:21] 也是筑牢环境质量安全的坚固防线，
[01:04:24] 也更是夯实民族永续发展的生态根基。
[01:04:27] 明白吧，
[01:04:28] 好了，
[01:04:28] 那么另外一个这些影响给大家准备的足够多，
[01:04:33] 你只要自己选个三到五组背下来，
[01:04:36] 我就觉得足够用了。
[01:04:38] 万能的背景具，
[01:04:39] 还有个性化的背景具，
[01:04:41] 也给大家准备好了，
[01:04:43] 大家当然可以在我的基础上，
[01:04:45] 你自己再去准备当然更好。
[01:04:47] 好了，
[01:04:48] 那么我问大家一下，
[01:04:50] 刚才我们说了名言警句。
[01:04:53] 加影响再加什么？
[01:04:56] 再加什么同学们，
[01:04:59] 再加一个过渡句。
[01:05:01] 再加一个总论点，
[01:05:03] 如果想个性化的话，
[01:05:04] 这个地方还可以加一个背景句，
[01:05:07] 如果想个性化影响的话，
[01:05:10] 后面还。
[01:05:10] 还可以加一个乘积和问题。
[01:05:14] 你想个性化它有无穷无尽的个性化，
[01:05:16] 你就不断的添加要素，
[01:05:18] 添加句子不就越来越个性化了吗？
[01:05:21] 我问大家一下，
[01:05:22] 如果黄河领域我们想加一个成绩和问题。
[01:05:25] 大家觉得把这个模板加进去，
[01:05:27] 你们觉得可以不？
[01:05:29] 可以的话给老师打个一啊，
[01:05:31] 你看近年来各地区各部门啊，
[01:05:34] 加快啊，
[01:05:35] 生态环呃，
[01:05:36] 就是加强黄河流域保护建设。
[01:05:38] 然后呢，
[01:05:39] 治理水平有了较大的提高，
[01:05:41] 或者近年来呢啊呃，
[01:05:43] 认识到面临着啊挑战，
[01:05:45] 然后呢，
[01:05:46] 领导人民继续探索，
[01:05:48] 不断推进啊，
[01:05:49] 生态建设成功走出了。
[01:05:51] 一条什么什么的道路成为我们的组成部分，
[01:05:54] 但是依然什么问题发生，
[01:05:56] 哎，
[01:05:56] 我们按照这个逻辑，
[01:05:58] 我们就把生态文明建设。
[01:06:00] 插入到刚才的这句话当中，
[01:06:02] 你们觉得可以不？
[01:06:03] 可以的话给老师打分析，
[01:06:05] 也就是我把这句话插入到哪里呢？
[01:06:08] 同学们，
[01:06:09] 我就把这个句话给大家，
[01:06:12] 直接插入到。
[01:06:14] 插入到这个过渡句之前，
[01:06:16] 影响之后，
[01:06:17] 大家觉得可以不？
[01:06:18] 我们来看一下啊，
[01:06:20] 就是有人指出我一直很关心黄河流域生态保护和高质量发展。
[01:06:25] 保护黄河流域是推动啊，
[01:06:27] 就是观念转变的关键之举，
[01:06:29] 是转变经济发展方式的现实路径，
[01:06:32] 是实现可持续发展的坚实保障。
[01:06:34] 然后我要插入了，
[01:06:35] 大家来看一下，
[01:06:36] 就直接用这句话，
[01:06:38] 就是近年来呢，
[01:06:39] 各地区各部门加快绿色低碳转型生态环境保护能力和水平有了较大的提高。
[01:06:45] 近年来，
[01:06:45] 以这个人为核心的深深刻认识到啊，
[01:06:48] 这些东西领导探索不断推进，
[01:06:51] 人与自然和谐共生，
[01:06:52] 现代化建设成功走出一条啊。
[01:06:55] 啊，
[01:06:55] 成功的道路成为重要组成部分，
[01:06:59] 但是有黄河领域要保护，
[01:07:01] 要高质量，
[01:07:02] 请问。
[01:07:03] 它反推出问题，
[01:07:04] 是不是就是你污染啊？
[01:07:06] 是不是就是生态被破坏了，
[01:07:08] 仍存在短板？
[01:07:09] 大家觉得这样可以吗？
[01:07:11] 可以的话，
[01:07:11] 给老师打飞机。
[01:07:13] 可以的话，
[01:07:14] 给老师打飞机，
[01:07:15] 各位那么我问大家一下名言警句，
[01:07:19] 加上背景，
[01:07:20] 加上影响。
[01:07:22] 还要加什么？
[01:07:23] 还要加上一个乘积，
[01:07:24] 还要加什么？
[01:07:25] 还要加一个问题，
[01:07:26] 还要加什么？
[01:07:27] 还要加一个过渡句，
[01:07:29] 还要加什么？
[01:07:30] 还要加一个总论点。
[01:07:32] 如果我在考试的时候，
[01:07:33] 我问大家下，
[01:07:34] 我就真的不写影响，
[01:07:36] 请问可不可以同学们？
[01:07:38] 我就没有背袁东老师那个影响，
[01:07:40] 我怕重复我就没背，
[01:07:42] 可以吗？
[01:07:42] 可以吧？
[01:07:43] 好了，
[01:07:44] 那我问大家一下，
[01:07:45] 如果在考试的时候我就没写这个，
[01:07:48] 没写这个成绩，
[01:07:49] 请问大家一下可不可以？
[01:07:51] 哎，
[01:07:51] 没写成绩可不可以也是可以的，
[01:07:54] 请问如果没有写问题可不可以也是可以的？
[01:07:59] 像这种东西，
[01:08:00] 大家只要准备的，
[01:08:01] 只要用的合情合理就可以了，
[01:08:04] 你可以进行一个灵活的。
[01:08:07] 组合现在清晰了吗？
[01:08:08] 各位，
[01:08:09] 我再给大家说一下我们的讲义和PPT呢，
[01:08:12] 基本上是一致的啊，
[01:08:13] 你就跟着课堂走，
[01:08:15] 你先不要着急，
[01:08:16] 最后呢，
[01:08:17] 那个讲义这节课的最后给大家把所有的要背的全部汇总。
[01:08:21] 你接着往下看就知道了，
[01:08:23] 别着急行吗？
[01:08:24] 觉得可以的话，
[01:08:25] 给老师打飞机，
[01:08:27] 请问大家一下开头一般要写多少个字？
[01:08:30] 开头一般写多少个字？
[01:08:32] 一般考试的时候大家就是五个自然段，
[01:08:36] 开头200字分论点各200字。
[01:08:40] 然后呢，
[01:08:40] 结尾200字正好1000字200字左右就可以了啊，
[01:08:45] 所以足够你写的兄弟们好了，
[01:08:47] 再带着大家往下走。
[01:08:49] 双主题的，
[01:08:50] 大家觉得难吗？
[01:08:51] 请问大家一下，
[01:08:52] 你们觉得双主题的是否可以用我们单主题的这个写作的方式去写？
[01:08:59] 比如说给大家看一下这个题目，
[01:09:02] 你们觉得是否能够用我们单主题的写作的这种方式去写，
[01:09:07] 首先给老师把。
[01:09:08] 标题拟出来，
[01:09:09] 请问标题前半句是不是应该等于对策？
[01:09:13] 后半句是不是应该等于影响？
[01:09:16] 这个对策应该怎么写？
[01:09:18] 记住我的话，
[01:09:19] 硬设施软服务怎么写？
[01:09:21] 哪位同学可以告诉我？
[01:09:23] 你可以把它变成对策，
[01:09:26] 完善硬设施。
[01:09:27] 优化软服务或者软硬。
[01:09:31] 并驾齐驱啊，
[01:09:33] 随便写吧，
[01:09:34] 并驾齐驱。
[01:09:36] OK，
[01:09:36] 然后不要写逗号，
[01:09:38] 记住了，
[01:09:38] 空一个格子啊，
[01:09:40] 就说完善社会治理，
[01:09:42] 共筑社会治理发展新格局，
[01:09:45] 我就不再写了。
[01:09:46] 下面我们问大家下应该怎么办？
[01:09:49] 第一句写名言警句，
[01:09:51] 第二句写影响，
[01:09:53] 第三句写过渡句，
[01:09:55] 第四句写总论点。
[01:09:57] 请问大家一下可以不？
[01:09:58] 我觉得是没有问题的，
[01:10:00] 大家把它来看一下，
[01:10:01] 我怎么给大家写的？
[01:10:02] 你看第一句名言警句，
[01:10:04] 直接把这句话抄下来。
[01:10:06] 第二句写影响，
[01:10:07] 统筹把握好硬设施和软服务，
[01:10:10] 然后呢，
[01:10:11] 它有什么影响，
[01:10:12] 请问硬设施软服务属于哪个话题？
[01:10:16] 同学们告诉我，
[01:10:17] 硬设施，
[01:10:18] 软服务属于哪个话题，
[01:10:20] 哪位同学可以告诉我，
[01:10:22] 硬设施，
[01:10:22] 软服务是不是属于民生类的话题啊？
[01:10:26] 那么，
[01:10:26] 这三句话还记得吗？
[01:10:28] 民生类的话题，
[01:10:29] 刚才有给大家准备好吧，
[01:10:31] 你看民生类的话题，
[01:10:33] 给大家准备好，
[01:10:34] 直接背上来就可以用。
[01:10:36] 然后再加上一个过渡句，
[01:10:38] 然后再加上一个总论点也就可以了，
[01:10:42] 总论点把我们的。
[01:10:44] 就是把它写下来，
[01:10:45] 把它写下来，
[01:10:46] 然后呢，
[01:10:46] 再把它写下来也就齐了好吧，
[01:10:49] 然后如果你想加背景句也是没有问题的，
[01:10:52] 他民生领域你加一个万能的，
[01:10:54] 加一个个性化的，
[01:10:56] 我不爱管你。
[01:10:57] 好吧，
[01:10:57] 好了也就可以过了，
[01:10:59] 你会发现就是双主题的和单主题的写作的模式，
[01:11:03] 请问大家一下可不可以一样？
[01:11:05] 可以一样的话，
[01:11:06] 给老师打个一当然可以一样单主题，
[01:11:09] 你就在这个地方写一个词，
[01:11:11] 双主题，
[01:11:12] 你就在这个地方写两个词。
[01:11:14] 那如果多主题在这个地方要写几个词，
[01:11:17] 哪位同学告诉我，
[01:11:19] 如果是多主题在这个地方要写几个词，
[01:11:22] 要写三个词。
[01:11:23] 好了，
[01:11:23] 那么这里面呢素材它双主题单主题多主题，
[01:11:27] 它依然涉及到的就是这几个领域政治，
[01:11:30] 经济，
[01:11:31] 文化，
[01:11:31] 社会，
[01:11:32] 生态。
[01:11:32] 好了，
[01:11:33] 但是我还想给大家再讲一种不一样的写作方式，
[01:11:37] 大家首先来看一下这个题目。
[01:11:40] 首先看一下，
[01:11:41] 它是单主题还是双主题还是多主题，
[01:11:44] 认真的琢磨一下。
[01:11:46] 传统现代现代传统一看两个是一个维度，
[01:11:50] 它就是双主题，
[01:11:52] 请大家给老师拟出一个标题。
[01:11:55] 标题这种怎么写？
[01:11:56] 它这句话你看就分成两个半句，
[01:11:59] 你仔细体会一下这个题目，
[01:12:01] 它就是让你讨论AB之间的关系。
[01:12:04] 所以我一起写现代。
[01:12:07] 约。
[01:12:09] 传统。
[01:12:10] 接着写相互。
[01:12:14] 融合。
[01:12:17] OK，
[01:12:17] 然后共创。
[01:12:20] 未来一起把它搞定。
[01:12:23] 好了，
[01:12:23] 我现在问大家一下，
[01:12:25] 拿到这个题目，
[01:12:26] 我们应该怎么把它搞定？
[01:12:28] 同学们告诉我，
[01:12:29] 我不会写了这个时候。
[01:12:31] 我问大家一下。
[01:12:32] 我给你准备了一个模板。
[01:12:36] 只要涉及到这种a与b的，
[01:12:38] 首先我问大家下，
[01:12:39] 我们用刚才的那个四句话，
[01:12:41] 能不能把它写下来？
[01:12:43] 第一句名言警句。
[01:12:44] 直接把这个句子进行一个摘抄，
[01:12:47] 第二句写一下就是它的影响，
[01:12:49] 这个影响因为你们没有看到题目，
[01:12:52] 它就是对于文化的影响。
[01:12:54] 直接摘抄第三句，
[01:12:55] 加一个过渡句，
[01:12:56] 第四句加一个总论点，
[01:12:58] 请问大家下用这四步走可以不？
[01:13:01] 可以的话，
[01:13:02] 给老师敲个一，
[01:13:03] 不可以的话，
[01:13:04] 给老师敲个二，
[01:13:05] 用这四步走，
[01:13:06] 当然是可以的，
[01:13:07] 但是这个题目我再给大家换一种方式，
[01:13:10] 大家来看一下。
[01:13:11] 我给大家换的这种方式，
[01:13:13] 叫在当今社会快速发展的浪潮当中，
[01:13:16] 传统与现代似乎成了两个不同的概念。
[01:13:19] 但是，
[01:13:20] 传统与现代是。
[01:13:21] 是对立关系还是统一关系？
[01:13:23] 是只能孤立割裂还是相互促进？
[01:13:25] 那么传统上现在更亲切，
[01:13:27] 亲切，
[01:13:28] 鲜活，
[01:13:28] 现在让传统更丰富厚重。
[01:13:30] 那么，
[01:13:30] 这句话为我们提供了一个独特的视角来看待传统现代之间的相互影响和共生关系，
[01:13:36] 即我们应该认识到，
[01:13:37] 传统与现代虽然有区别，
[01:13:39] 但两者并不冲突，
[01:13:40] 而是相辅相成，
[01:13:41] 相互统一的关系。
[01:13:42] 二者相得益彰，
[01:13:43] 双向奔赴。
[01:13:44] 请问大家一下，
[01:13:45] 你觉得这样写可以不？
[01:13:47] 各位，
[01:13:47] 如果这个题目它不是传统与现代，
[01:13:50] 它是变。
[01:13:51] 它是不变。
[01:13:52] 今天，
[01:13:52] 河南省考考一个什么湖南，
[01:13:54] 河南什么，
[01:13:55] 最近有三支一扶。
[01:13:57] 今天，
[01:13:57] 湖南考了一个。
[01:13:58] 手还有一个语变手语变，
[01:14:01] 请问大家一下，
[01:14:03] 直接塞进去，
[01:14:04] 你觉得可以吗？
[01:14:06] 同学们告诉我，
[01:14:07] 在当今社会快速发展的浪潮当中，
[01:14:10] 手语变似乎是两个截然不同的概念，
[01:14:13] 可以吗？
[01:14:13] 各位这种专门针对AB两者之间的关系的是非常适合的。
[01:14:18] 如果考察理论与实践，
[01:14:20] 请问一下可以不？
[01:14:22] 如果考察有价和无价，
[01:14:25] 大家觉得可以不？
[01:14:27] 如果考察除夕。
[01:14:29] 还有一个念旧，
[01:14:30] 大家觉得可以不？
[01:14:32] 如果考察一个啊，
[01:14:34] 其他的其实都是可以的好吧，
[01:14:37] 那么如果我不想把这句话放在开头。
[01:14:42] 我放在开头和。
[01:14:46] 分论点的中间。
[01:14:49] 开头和分论点的中间这个段叫什么段？
[01:14:53] 哪位同学可以告诉我开头和分论点中间的这个段叫什么段？
[01:14:58] 是不是叫过渡段啊？
[01:15:00] 这个一段整体来讲，
[01:15:03] 把它塞到第二段做过渡段，
[01:15:06] 大家觉得可行不？
[01:15:08] 可行的话，
[01:15:09] 给老师敲个一不可行的话，
[01:15:11] 给老师敲个二当然是可行的。
[01:15:14] 好了，
[01:15:14] 那我问大家一下，
[01:15:16] 我们的分论点是a对b有什么影响，
[01:15:19] 然后b对a有什么影响，
[01:15:21] 然后最后我们要把a+b结合起来。
[01:15:25] 怎么干？
[01:15:25] 产生什么样的影响？
[01:15:27] 请问一下，
[01:15:27] 这是第一个分类点，
[01:15:29] 这是第二个分类点，
[01:15:30] 这是第三个分类点。
[01:15:32] 如果我既不用在开头，
[01:15:34] 又不用在过渡段，
[01:15:35] 我把这一段话。
[01:15:37] 放在第三个分论点里边，
[01:15:40] 大家觉得可行不？
[01:15:43] 放在第三个分论点的论证里面，
