[00:01:18] 大家现在能够听见吗？
[00:49:40] 这些要素大家可以随机的进行组合好吧，
[00:49:44] 随机的进行组合好嘞，
[00:49:46] 再带着大家往下走。
[00:49:47] 大家再来看一下，
[00:49:49] 最后我们要写一个结尾，
[00:49:51] 写这个结尾应该怎么写？
[00:49:53] 一般就是三个要素，
[00:49:54] 名言警句。
[00:49:55] 然后第二步再加上一个影响，
[00:49:58] 第三步再加上一个期待，
[00:50:00] 呼吁展望，
[00:50:01] 号召，
[00:50:01] 名言，
[00:50:02] 警句历尽天华成此景，
[00:50:03] 人间万事出千辛。
[00:50:05] 哎，
[00:50:05] 这个影响我假如不会写，
[00:50:07] 我就加一个问题，
[00:50:08] 你觉得行吗？
[00:50:09] 面对困难和挑战没有问题，
[00:50:12] 最后加一个期待，
[00:50:13] 展望，
[00:50:13] 呼吁，
[00:50:14] 号召，
[00:50:14] 我们要把三个分论点。
[00:50:16] 在结尾的时候再回扣分论点，
[00:50:18] 大家把回扣分论点给老师写在评论区，
[00:50:22] 不管开头结尾，
[00:50:24] 你呢？
[00:50:24] 把分论点呢回扣一下，
[00:50:26] 再点一下。
[00:50:27] 这样的话呢，
[00:50:28] 它实时的能够形成一个学习的闭环，
[00:50:31] 你永远没有忘记自己是在干什么是吧？
[00:50:34] 当然，
[00:50:34] 如果大家在考试的时候写不出来，
[00:50:36] 还有最后的几秒钟呢。
[00:50:38] 那没有办法，
[00:50:39] 我们只能开始了啊，
[00:50:41] 我们只能开始了，
[00:50:42] 我们可以怎么样？
[00:50:44] 随便想一个扬帆起航，
[00:50:45] 正当时砥砺奋进，
[00:50:47] 普华庄。
[00:50:47] 然后再接着写叫什么当前站在第二个100年奋斗目标的历史交会点上，
[00:50:54] 面向十五五迈步新征程。
[00:50:56] 然后呢？
[00:50:57] 就是。
[00:50:57] 怎么样叫做？
